co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01
366061,NUTRIÇÃO,IF GOIANO,Urutaí,GO,700.74,696.02,723.64,
367537,NUTRIÇÃO,IFCE,Limoeiro do Norte,CE,715.62,720.66,720.66,
362834,NUTRIÇÃO,IFSEMG,Barbacena,MG,689.56,679.98,692.02,
344823,NUTRIÇÃO,UEL,Londrina,PR,742.0,741.5,743.6,
349470,NUTRIÇÃO,UEM,Maringá,PR,727.14,738.1,742.0,
355987,NUTRIÇÃO,UEMG,Passos,MG,690.86,697.42,702.52,
362543,NUTRIÇÃO,UFAL,Maceió,AL,702.22,703.54,702.3,
368838,NUTRIÇÃO,UFAM,Coari,AM,702.4,700.04,702.69,
361438,NUTRIÇÃO,UFBA,Salvador,BA,698.15,700.92,705.54,
361468,NUTRIÇÃO,UFBA,Vitória da Conquista,BA,700.83,702.79,701.46,
351786,NUTRIÇÃO,UFCG,Cuité,PB,648.84,661.46,669.54,
360263,NUTRIÇÃO,UFCSPA,Porto Alegre,RS,732.9,734.26,735.78,
366194,NUTRIÇÃO,UFES,Alegre,ES,691.06,703.29,703.29,
366238,NUTRIÇÃO,UFES,Vitória,ES,721.54,726.0,723.88,
354868,NUTRIÇÃO,UFF,Niterói,RJ,708.89,712.02,712.91,
365973,NUTRIÇÃO,UFFS,Realeza,PR,689.86,701.42,701.38,
367666,NUTRIÇÃO,UFG,Goiânia,GO,722.19,725.26,729.58,
350297,NUTRIÇÃO,UFGD,Dourados,MS,683.58,684.9,693.42,
356309,NUTRIÇÃO,UFJF,Governador Valadares,MG,690.1,692.52,696.06,
356276,NUTRIÇÃO,UFJF,Juiz de Fora,MG,706.12,711.62,715.4,
369317,NUTRIÇÃO,UFLA,Lavras,MG,698.48,703.66,707.98,
347915,NUTRIÇÃO,UFMA,São Luís,MA,698.94,699.18,700.12,
361216,NUTRIÇÃO,UFMG,Belo Horizonte,MG,742.32,743.3,746.6,
366573,NUTRIÇÃO,UFMS,Campo Grande,MS,772.56,772.56,772.56,
365193,NUTRIÇÃO,UFMT,Cuiabá,MT,681.3,690.38,693.66,
343385,NUTRIÇÃO,UFOB,Barreiras,BA,710.24,710.24,711.84,
365468,NUTRIÇÃO,UFOP,Ouro Preto,MG,661.7,670.76,674.0,
354519,NUTRIÇÃO,UFPB,João Pessoa,PB,695.46,693.18,698.36,
364158,NUTRIÇÃO,UFPE,Vitória de Santo Antão,PE,648.74,659.7,661.01,
364108,NUTRIÇÃO,UFPE,Recife,PE,723.84,724.59,727.42,
360934,NUTRIÇÃO,UFPEL,Pelotas,RS,688.36,693.22,693.66,
368131,NUTRIÇÃO,UFPI,Picos,PI,648.05,650.47,655.58,
368091,NUTRIÇÃO,UFPI,Teresina,PI,680.85,688.28,685.46,
367039,NUTRIÇÃO,UFPR,Curitiba,PR,758.16,758.16,764.76,
347359,NUTRIÇÃO,UFRB,Santo Antônio de Jesus,BA,667.58,677.08,682.18,
350130,NUTRIÇÃO,UFRGS,Porto Alegre,RS,725.8,734.51,723.91,
359058,NUTRIÇÃO,UFRJ,Macaé,RJ,749.26,754.94,755.91,
358955,NUTRIÇÃO,UFRJ,Rio de Janeiro,RJ,763.86,765.9,765.9,
368007,NUTRIÇÃO,UFRN,Santa Cruz,RN,661.39,659.83,665.98,
367949,NUTRIÇÃO,UFRN,Natal,RN,690.19,692.84,691.96,
365418,NUTRIÇÃO,UFS,Lagarto,SE,680.02,685.3,695.87,
365387,NUTRIÇÃO,UFS,São Cristóvão,SE,700.01,700.5,704.56,
344165,NUTRIÇÃO,UFSC,Florianópolis,SC,757.42,770.8,772.36,
361896,NUTRIÇÃO,UFSM,Palmeira das Missões,RS,707.08,705.12,704.2,
361922,NUTRIÇÃO,UFSM,Santa Maria,RS,734.02,734.02,740.24,
367310,NUTRIÇÃO,UFT,Palmas,TO,703.96,701.28,700.38,
355098,NUTRIÇÃO,UFTM,Uberaba,MG,700.31,710.44,707.07,
362215,NUTRIÇÃO,UFU,Uberlândia,MG,744.61,757.02,754.79,
368649,NUTRIÇÃO,UFV,Rio Paranaíba,MG,685.72,689.7,693.46,
368614,NUTRIÇÃO,UFV,Viçosa,MG,706.68,707.54,711.08,
368386,NUTRIÇÃO,UFVJM,Diamantina,MG,673.62,680.21,681.62,
345902,NUTRIÇÃO,UNICENTRO,Guarapuava,PR,702.66,703.31,702.66,
342888,NUTRIÇÃO,UNIFAL-MG,Alfenas,MG,711.3,713.16,713.32,
360524,NUTRIÇÃO,UNIFESP,Santos,SP,739.5,739.98,742.22,
353552,NUTRIÇÃO,UNIOESTE,Francisco Beltrão,PR,713.04,715.06,715.68,
347007,NUTRIÇÃO,UNIPAMPA,Itaqui,RS,661.76,669.3,671.18,
364510,NUTRIÇÃO,UNIRIO,Rio de Janeiro,RJ,692.8,696.84,702.84,
364477,NUTRIÇÃO,UNIRIO,Rio de Janeiro,RJ,699.32,705.34,707.08,
353612,NUTRIÇÃO,UPE,Petrolina,PE,680.18,688.34,687.66,
