co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
348913,ENFERMAGEM,FAMEMA,Marília,SP,746.16,750.3,751.5
349719,ENFERMAGEM,FURG,Rio Grande,RS,695.5,703.64,705.06
345004,ENFERMAGEM,IF FLUMINENSE,Campos dos Goytacazes,RJ,668.23,671.21,671.69
352432,ENFERMAGEM,IFPE,Pesqueira,PE,660.28,667.44,669.84
352885,ENFERMAGEM,IFSC,Joinville,SC,733.17,740.18,749.0
349924,ENFERMAGEM,UDESC,Chapecó,SC,687.9,701.86,706.88
359253,ENFERMAGEM,UEFS,Feira de Santana,BA,678.85,686.16,687.65
344793,ENFERMAGEM,UEL,Londrina,PR,735.92,739.9,749.86
349517,ENFERMAGEM,UEM,Maringá,PR,751.44,751.44,733.24
355983,ENFERMAGEM,UEMG,Passos,MG,677.82,686.4,694.58
356030,ENFERMAGEM,UEMG,Passos,MG,687.74,701.46,707.04
355886,ENFERMAGEM,UEMG,Divinópolis,MG,696.44,698.62,703.36
357030,ENFERMAGEM,UEMS,Dourados,MS,687.98,700.55,704.55
351617,ENFERMAGEM,UENP,Bandeirantes,PR,704.1,704.94,704.1
349873,ENFERMAGEM,UEPB,Campina Grande,PB,685.05,691.98,691.75
346458,ENFERMAGEM,UERN,Pau dos Ferros,RN,691.03,693.91,701.53
346454,ENFERMAGEM,UERN,Caicó,RN,704.98,697.53,704.98
346456,ENFERMAGEM,UERN,Mossoró,RN,717.53,716.32,716.93
357507,ENFERMAGEM,UESB,Jequié,BA,710.28,708.94,712.1
348969,ENFERMAGEM,UESC,Ilhéus,BA,696.49,700.69,701.86
363151,ENFERMAGEM,UESPI,Picos,PI,660.0,660.52,663.67
363116,ENFERMAGEM,UESPI,Parnaíba,PI,679.49,682.52,687.02
363181,ENFERMAGEM,UESPI,Teresina,PI,681.84,688.12,690.23
362588,ENFERMAGEM,UFAL,Arapiraca,AL,704.38,711.14,712.92
362541,ENFERMAGEM,UFAL,Maceió,AL,714.18,714.8,719.16
368841,ENFERMAGEM,UFAM,Coari,AM,714.66,703.44,705.09
368810,ENFERMAGEM,UFAM,Manaus,AM,726.6,732.06,732.66
361466,ENFERMAGEM,UFBA,Vitória da Conquista,BA,706.33,706.33,706.33
361433,ENFERMAGEM,UFBA,Salvador,BA,706.42,706.51,707.43
365577,ENFERMAGEM,UFC,Fortaleza,CE,735.26,736.1,737.6
363038,ENFERMAGEM,UFCAT,Catalão,GO,679.21,691.38,688.9
351754,ENFERMAGEM,UFCG,Cuité,PB,652.42,661.7,667.88
351735,ENFERMAGEM,UFCG,Cajazeiras,PB,672.98,675.82,680.42
351768,ENFERMAGEM,UFCG,Campina Grande,PB,687.36,685.9,694.28
360267,ENFERMAGEM,UFCSPA,Porto Alegre,RS,723.96,727.74,732.42
366197,ENFERMAGEM,UFES,São Mateus,ES,701.15,709.28,711.96
354920,ENFERMAGEM,UFF,Rio das Ostras,RJ,700.09,704.71,712.34
354884,ENFERMAGEM,UFF,Niterói,RJ,711.87,714.93,721.11
365953,ENFERMAGEM,UFFS,Chapecó,SC,698.42,702.7,698.42
365931,ENFERMAGEM,UFFS,Passo Fundo,RS,737.6,726.08,726.08
367222,ENFERMAGEM,UFG,Goiânia,GO,724.1,728.22,730.03
355399,ENFERMAGEM,UFJ,Jataí,GO,678.11,687.9,694.57
356271,ENFERMAGEM,UFJF,Juiz de Fora,MG,716.82,722.16,725.06
369350,ENFERMAGEM,UFLA,Lavras,MG,726.98,716.6,715.56
