co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
349752,CIÊNCIAS CONTÁBEIS,FURG,Rio Grande,RS,634.48,653.78,653.9
349992,CIÊNCIAS CONTÁBEIS,UDESC,Ibirama,SC,621.06,626.22,637.54
359255,CIÊNCIAS CONTÁBEIS,UEFS,Feira de Santana,BA,657.16,659.32,659.97
349488,CIÊNCIAS CONTÁBEIS,UEM,Cianorte,PR,626.26,660.84,660.84
349117,CIÊNCIAS CONTÁBEIS,UEM,Maringá,PR,675.84,688.42,693.48
349458,CIÊNCIAS CONTÁBEIS,UEM,Maringá,PR,689.56,691.06,694.34
355984,CIÊNCIAS CONTÁBEIS,UEMG,Abaeté,MG,635.56,645.08,640.26
355981,CIÊNCIAS CONTÁBEIS,UEMG,Cláudio,MG,650.88,655.08,655.08
355970,CIÊNCIAS CONTÁBEIS,UEMG,Passos,MG,667.7,678.8,675.8
357071,CIÊNCIAS CONTÁBEIS,UEMS,Ponta Porã,MS,586.62,606.46,618.64
351596,CIÊNCIAS CONTÁBEIS,UENP,Cornélio Procópio,PR,634.4,636.16,644.14
349887,CIÊNCIAS CONTÁBEIS,UEPB,Monteiro,PB,560.27,578.01,581.24
349904,CIÊNCIAS CONTÁBEIS,UEPB,Campina Grande,PB,616.05,622.36,625.22
349809,CIÊNCIAS CONTÁBEIS,UEPB,Campina Grande,PB,626.39,629.39,635.04
349882,CIÊNCIAS CONTÁBEIS,UEPB,Monteiro,PB,N/A,455.69,542.75
346014,CIÊNCIAS CONTÁBEIS,UERN,Patu,RN,609.88,631.5,631.5
346412,CIÊNCIAS CONTÁBEIS,UERN,Mossoró,RN,646.56,658.46,655.54
346411,CIÊNCIAS CONTÁBEIS,UERN,Mossoró,RN,654.89,650.52,651.41
357509,CIÊNCIAS CONTÁBEIS,UESB,Vitória da Conquista,BA,698.83,706.55,715.23
348961,CIÊNCIAS CONTÁBEIS,UESC,Ilhéus,BA,681.06,663.14,683.18
363136,CIÊNCIAS CONTÁBEIS,UESPI,Floriano,PI,616.98,628.59,633.93
363165,CIÊNCIAS CONTÁBEIS,UESPI,Teresina,PI,643.16,650.03,649.94
363164,CIÊNCIAS CONTÁBEIS,UESPI,Teresina,PI,649.48,656.41,654.48
363092,CIÊNCIAS CONTÁBEIS,UESPI,Picos,PI,650.77,652.04,645.18
363163,CIÊNCIAS CONTÁBEIS,UESPI,Teresina,PI,656.12,658.61,659.48
362632,CIÊNCIAS CONTÁBEIS,UFAL,Santana do Ipanema,AL,604.22,610.02,622.44
362547,CIÊNCIAS CONTÁBEIS,UFAL,Maceió,AL,646.98,657.96,658.66
362548,CIÊNCIAS CONTÁBEIS,UFAL,Maceió,AL,650.54,651.08,651.88
368785,CIÊNCIAS CONTÁBEIS,UFAM,Manaus,AM,674.85,682.55,683.09
368786,CIÊNCIAS CONTÁBEIS,UFAM,Manaus,AM,675.89,686.39,686.91
347444,CIÊNCIAS CONTÁBEIS,UFAPE,Garanhuns,PE,653.18,660.45,663.3
361473,CIÊNCIAS CONTÁBEIS,UFBA,Salvador,BA,667.23,669.65,679.93
361472,CIÊNCIAS CONTÁBEIS,UFBA,Salvador,BA,690.31,683.88,685.21
365557,CIÊNCIAS CONTÁBEIS,UFC,Fortaleza,CE,691.3,696.32,698.14
365596,CIÊNCIAS CONTÁBEIS,UFC,Fortaleza,CE,697.2,699.1,700.36
352745,CIÊNCIAS CONTÁBEIS,UFCA,Juazeiro do Norte,CE,684.38,691.85,692.11
351794,CIÊNCIAS CONTÁBEIS,UFCG,Sousa,PB,623.42,627.34,626.52
347118,CIÊNCIAS CONTÁBEIS,UFDPAR,Parnaíba,PI,639.0,643.86,643.86
346952,CIÊNCIAS CONTÁBEIS,UFERSA,Mossoró,RN,646.91,651.87,654.29
366207,CIÊNCIAS CONTÁBEIS,UFES,Vitória,ES,690.11,696.44,702.97
366167,CIÊNCIAS CONTÁBEIS,UFES,Vitória,ES,693.3,698.09,699.47
354982,CIÊNCIAS CONTÁBEIS,UFF,Volta Redonda,RJ,658.06,667.02,672.48
354981,CIÊNCIAS CONTÁBEIS,UFF,Volta Redonda,RJ,664.82,663.8,668.88
354898,CIÊNCIAS CONTÁBEIS,UFF,Macaé,RJ,676.36,682.73,689.17
354887,CIÊNCIAS CONTÁBEIS,UFF,Niterói,RJ,697.26,697.3,700.69
367707,CIÊNCIAS CONTÁBEIS,UFG,Goiânia,GO,728.59,730.8,727.06
367706,CIÊNCIAS CONTÁBEIS,UFG,Goiânia,GO,734.1,736.48,736.47
350306,CIÊNCIAS CONTÁBEIS,UFGD,Dourados,MS,626.0,646.26,648.46
356311,CIÊNCIAS CONTÁBEIS,UFJF,Governador Valadares,MG,664.44,670.4,673.04
356295,CIÊNCIAS CONTÁBEIS,UFJF,Juiz de Fora,MG,691.62,694.88,697.58
356294,CIÊNCIAS CONTÁBEIS,UFJF,Juiz de Fora,MG,692.72,692.72,694.66
347868,CIÊNCIAS CONTÁBEIS,UFMA,Imperatriz,MA,650.16,659.76,661.38
347838,CIÊNCIAS CONTÁBEIS,UFMA,São Luís,MA,653.6,656.96,658.34
361036,CIÊNCIAS CONTÁBEIS,UFMG,Belo Horizonte,MG,721.42,721.1,727.18
366588,CIÊNCIAS CONTÁBEIS,UFMS,Nova Andradina,MS,629.21,665.0,657.2
366495,CIÊNCIAS CONTÁBEIS,UFMS,Corumbá,MS,711.57,711.57,711.57
366577,CIÊNCIAS CONTÁBEIS,UFMS,Campo Grande,MS,748.77,748.77,785.04
366507,CIÊNCIAS CONTÁBEIS,UFMS,Três Lagoas,MS,865.97,789.11,789.11
363503,CIÊNCIAS CONTÁBEIS,UFMT,Cuiabá,MT,648.9,649.82,658.1
363504,CIÊNCIAS CONTÁBEIS,UFMT,Cuiabá,MT,659.28,667.48,668.72
354458,CIÊNCIAS CONTÁBEIS,UFPB,Mamanguape,PB,578.88,592.3,596.68
354514,CIÊNCIAS CONTÁBEIS,UFPB,João Pessoa,PB,641.24,647.06,649.42
