co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01
345788,MEDICINA VETERINÁRIA,IF CATARINENSE,Concórdia,SC,685.44,686.08,693.02,
345773,MEDICINA VETERINÁRIA,IF CATARINENSE,Araquari,SC,697.06,697.76,702.8,
366038,MEDICINA VETERINÁRIA,IF GOIANO,Urutaí,GO,718.76,745.22,718.76,
346876,MEDICINA VETERINÁRIA,IF SUL DE MINAS,Muzambinho,MG,727.9,735.68,753.54,
355438,MEDICINA VETERINÁRIA,IFAM,Manaus,AM,717.92,716.96,723.13,
347126,MEDICINA VETERINÁRIA,IFAP,Porto Grande,AP,668.1,667.17,678.89,
352979,MEDICINA VETERINÁRIA,IFES,Colatina,ES,692.4,698.59,699.3,
352980,MEDICINA VETERINÁRIA,IFES,Santa Teresa,ES,721.29,725.61,716.73,
368758,MEDICINA VETERINÁRIA,IFMA,São Raimundo das Mangabeiras,MA,670.7,670.7,673.1,
346653,MEDICINA VETERINÁRIA,IFMG,Bambuí,MG,707.74,709.78,713.62,
368927,MEDICINA VETERINÁRIA,IFNMG,Salinas,MG,696.64,704.48,707.7,
361774,MEDICINA VETERINÁRIA,IFPB,Sousa,PB,678.57,679.74,680.69,
356122,MEDICINA VETERINÁRIA,IFTO,Araguatins,TO,691.4,684.56,684.56,
349990,MEDICINA VETERINÁRIA,UDESC,Lages,SC,716.24,718.78,719.92,
344795,MEDICINA VETERINÁRIA,UEL,Londrina,PR,758.74,758.74,761.52,
349526,MEDICINA VETERINÁRIA,UEM,Umuarama,PR,731.14,726.68,726.68,
357835,MEDICINA VETERINÁRIA,UENF,Campos dos Goytacazes,RJ,699.54,704.0,703.2,
351597,MEDICINA VETERINÁRIA,UENP,Bandeirantes,PR,724.08,724.08,724.08,
348936,MEDICINA VETERINÁRIA,UESC,Ilhéus,BA,685.91,694.97,695.89,
362591,MEDICINA VETERINÁRIA,UFAL,Viçosa,AL,690.7,694.16,693.5,
347434,MEDICINA VETERINÁRIA,UFAPE,Garanhuns,PE,657.09,668.04,671.79,
347436,MEDICINA VETERINÁRIA,UFAPE,Garanhuns,PE,674.83,677.35,673.64,
361437,MEDICINA VETERINÁRIA,UFBA,Salvador,BA,700.52,702.13,703.17,
352703,MEDICINA VETERINÁRIA,UFCA,Crato,CE,711.66,721.07,729.68,
351792,MEDICINA VETERINÁRIA,UFCG,Patos,PB,679.28,680.78,683.46,
346938,MEDICINA VETERINÁRIA,UFERSA,Mossoró,RN,687.1,687.95,687.99,
366182,MEDICINA VETERINÁRIA,UFES,Alegre,ES,739.85,745.7,750.37,
354881,MEDICINA VETERINÁRIA,UFF,Niterói,RJ,745.64,747.47,747.11,
365972,MEDICINA VETERINÁRIA,UFFS,Realeza,PR,702.12,708.86,711.58,
367665,MEDICINA VETERINÁRIA,UFG,Goiânia,GO,738.53,735.63,735.63,
355389,MEDICINA VETERINÁRIA,UFJ,Jataí,GO,696.57,702.06,704.04,
356313,MEDICINA VETERINÁRIA,UFJF,Juiz de Fora,MG,728.38,731.14,732.22,
369164,MEDICINA VETERINÁRIA,UFLA,Lavras,MG,724.99,727.67,725.23,
361194,MEDICINA VETERINÁRIA,UFMG,Belo Horizonte,MG,752.66,753.24,756.46,
366575,MEDICINA VETERINÁRIA,UFMS,Paranaíba,MS,734.69,737.04,734.69,
366489,MEDICINA VETERINÁRIA,UFMS,Campo Grande,MS,764.75,764.75,764.75,
