co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01
359258,ODONTOLOGIA,UEFS,Feira de Santana,BA,719.0,724.36
344798,ODONTOLOGIA,UEL,Londrina,PR,770.24,761.42
349506,ODONTOLOGIA,UEM,Maringá,PR,756.72,767.64
351606,ODONTOLOGIA,UENP,Jacarezinho,PR,762.6,762.6
349874,ODONTOLOGIA,UEPB,Araruna,PB,714.12,721.1
349870,ODONTOLOGIA,UEPB,Campina Grande,PB,737.44,742.87
346452,ODONTOLOGIA,UERN,Caicó,RN,745.26,745.45
357535,ODONTOLOGIA,UESB,Jequié,BA,743.48,748.44
363132,ODONTOLOGIA,UESPI,Parnaíba,PI,733.02,736.69
362544,ODONTOLOGIA,UFAL,Maceió,AL,740.64,750.4
368789,ODONTOLOGIA,UFAM,Manaus,AM,752.25,756.33
361439,ODONTOLOGIA,UFBA,Salvador,BA,728.13,734.62
365608,ODONTOLOGIA,UFC,Sobral,CE,750.04,748.82
365580,ODONTOLOGIA,UFC,Fortaleza,CE,757.66,759.16
351741,ODONTOLOGIA,UFCG,Patos,PB,717.38,720.48
366075,ODONTOLOGIA,UFES,Vitória,ES,749.49,754.23
354314,ODONTOLOGIA,UFF,Nova Friburgo,RJ,737.91,740.72
354867,ODONTOLOGIA,UFF,Niterói,RJ,779.8,784.89
367667,ODONTOLOGIA,UFG,Goiânia,GO,753.73,756.28
356337,ODONTOLOGIA,UFJF,Governador Valadares,MG,731.14,741.86
356133,ODONTOLOGIA,UFJF,Juiz de Fora,MG,745.76,747.82
347896,ODONTOLOGIA,UFMA,São Luís,MA,751.08,752.38
361195,ODONTOLOGIA,UFMG,Belo Horizonte,MG,758.74,759.44
366490,ODONTOLOGIA,UFMS,Campo Grande,MS,736.99,755.07
354421,ODONTOLOGIA,UFPB,João Pessoa,PB,753.74,754.06
364114,ODONTOLOGIA,UFPE,Recife,PE,747.44,753.33
364115,ODONTOLOGIA,UFPE,Recife,PE,753.33,760.29
360929,ODONTOLOGIA,UFPEL,Pelotas,RS,735.3,735.86
367563,ODONTOLOGIA,UFPI,Teresina,PI,741.2,745.66
367051,ODONTOLOGIA,UFPR,Curitiba,PR,771.94,771.94
350092,ODONTOLOGIA,UFRGS,Porto Alegre,RS,726.3,732.87
350181,ODONTOLOGIA,UFRGS,Porto Alegre,RS,731.12,738.56
358956,ODONTOLOGIA,UFRJ,Rio de Janeiro,RJ,796.06,801.84
367950,ODONTOLOGIA,UFRN,Natal,RN,731.08,734.31
365420,ODONTOLOGIA,UFS,Lagarto,SE,741.29,746.11
365331,ODONTOLOGIA,UFS,Aracaju,SE,761.98,765.77
344280,ODONTOLOGIA,UFSC,Florianópolis,SC,767.69,772.04
361831,ODONTOLOGIA,UFSM,Santa Maria,RS,749.64,749.64
362183,ODONTOLOGIA,UFU,Uberlândia,MG,783.7,785.91
367939,ODONTOLOGIA,UFVJM,Diamantina,MG,717.19,723.44
342890,ODONTOLOGIA,UNIFAL-MG,Alfenas,MG,742.26,744.54
345117,ODONTOLOGIA,UNIMONTES,Montes Claros,MG,741.71,742.07
353506,ODONTOLOGIA,UNIOESTE,Cascavel,PR,756.79,759.19
353614,ODONTOLOGIA,UPE,Arcoverde,PE,726.2,731.42
353567,ODONTOLOGIA,UPE,Recife,PE,733.48,739.38
