co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
346389,ENGENHARIA DE PRODUÇÃO,CEFET/RJ,Itaguaí,RJ,625.06,632.92,642.26
345928,ENGENHARIA DE PRODUÇÃO,CEFET/RJ,Nova Iguaçu,RJ,641.22,652.08,661.77
346396,ENGENHARIA DE PRODUÇÃO,CEFET/RJ,Rio de Janeiro,RJ,726.05,730.14,730.48
349746,ENGENHARIA DE PRODUÇÃO,FURG,Santo Antônio da Patrulha,RS,600.7,624.17,633.49
367489,ENGENHARIA DE PRODUÇÃO,IFCE,Caucaia,CE,692.91,699.04,716.47
352909,ENGENHARIA DE PRODUÇÃO,IFES,Cariacica,ES,673.28,685.61,689.85
357239,ENGENHARIA DE PRODUÇÃO,IFG,Senador Canedo,GO,677.0,684.84,684.84
346637,ENGENHARIA DE PRODUÇÃO,IFMG,Bambuí,MG,569.8,594.86,621.24
346661,ENGENHARIA DE PRODUÇÃO,IFMG,Congonhas,MG,619.94,631.36,635.76
346639,ENGENHARIA DE PRODUÇÃO,IFMG,Governador Valadares,MG,702.9,702.9,702.9
354184,ENGENHARIA DE PRODUÇÃO,IFRJ,Niterói,RJ,651.28,674.68,678.93
353884,ENGENHARIA DE PRODUÇÃO,IFRJ,Nilópolis,RJ,651.6,663.3,673.52
365911,ENGENHARIA DE PRODUÇÃO,IFRN,São Gonçalo do Amarante,RN,633.26,650.85,643.07
352870,ENGENHARIA DE PRODUÇÃO,IFSC,Caçador,SC,593.48,612.9,617.17
369032,ENGENHARIA DE PRODUÇÃO,IFSP,Registro,SP,647.6,647.94,657.98
369074,ENGENHARIA DE PRODUÇÃO,IFSP,Boituva,SP,676.64,676.74,677.26
369068,ENGENHARIA DE PRODUÇÃO,IFSP,São Paulo,SP,695.94,700.86,704.08
368966,ENGENHARIA DE PRODUÇÃO,IFSP,São Paulo,SP,718.12,723.16,724.4
362991,ENGENHARIA DE PRODUÇÃO,UEAP,Macapá,AP,656.74,665.37,665.88
349451,ENGENHARIA DE PRODUÇÃO,UEM,Goioerê,PR,653.9,667.9,664.82
349501,ENGENHARIA DE PRODUÇÃO,UEM,Maringá,PR,659.96,689.42,678.28
349528,ENGENHARIA DE PRODUÇÃO,UEM,Maringá,PR,675.88,688.04,697.3
349498,ENGENHARIA DE PRODUÇÃO,UEM,Maringá,PR,680.66,690.86,690.86
349115,ENGENHARIA DE PRODUÇÃO,UEM,Maringá,PR,716.22,699.6,717.24
355964,ENGENHARIA DE PRODUÇÃO,UEMG,Abaeté,MG,597.06,615.3,641.2
355941,ENGENHARIA DE PRODUÇÃO,UEMG,Frutal,MG,658.66,680.98,680.08
356021,ENGENHARIA DE PRODUÇÃO,UEMG,Passos,MG,664.96,673.34,671.9
356029,ENGENHARIA DE PRODUÇÃO,UEMG,Divinópolis,MG,668.88,678.76,673.18
355942,ENGENHARIA DE PRODUÇÃO,UEMG,Divinópolis,MG,673.0,680.08,686.7
357847,ENGENHARIA DE PRODUÇÃO,UENF,Campos dos Goytacazes,RJ,661.97,672.71,672.71
367840,ENGENHARIA DE PRODUÇÃO,UERJ,Resende,RJ,685.33,702.68,709.41
367895,ENGENHARIA DE PRODUÇÃO,UERJ,Rio de Janeiro,RJ,731.24,738.74,748.84
348941,ENGENHARIA DE PRODUÇÃO,UESC,Ilhéus,BA,654.26,666.18,669.03
362641,ENGENHARIA DE PRODUÇÃO,UFAL,Penedo,AL,561.94,587.02,595.48
362628,ENGENHARIA DE PRODUÇÃO,UFAL,Delmiro Gouveia,AL,603.88,614.44,617.14
368844,ENGENHARIA DE PRODUÇÃO,UFAM,Itacoatiara,AM,656.27,652.6,665.02
368823,ENGENHARIA DE PRODUÇÃO,UFAM,Manaus,AM,697.91,701.54,704.06
361512,ENGENHARIA DE PRODUÇÃO,UFBA,Camaçari,BA,661.47,674.24,681.19
361469,ENGENHARIA DE PRODUÇÃO,UFBA,Salvador,BA,715.41,722.76,727.23
365652,ENGENHARIA DE PRODUÇÃO,UFC,Russas,CE,642.06,644.24,646.02
365592,ENGENHARIA DE PRODUÇÃO,UFC,Fortaleza,CE,710.78,713.54,716.12
363036,ENGENHARIA DE PRODUÇÃO,UFCAT,Catalão,GO,605.05,630.49,643.91
351789,ENGENHARIA DE PRODUÇÃO,UFCG,Campina Grande,PB,618.46,636.3,640.36
351821,ENGENHARIA DE PRODUÇÃO,UFCG,Sumé,PB,N/A,N/A,N/A
346966,ENGENHARIA DE PRODUÇÃO,UFERSA,Angicos,RN,584.92,595.96,609.47
366200,ENGENHARIA DE PRODUÇÃO,UFES,São Mateus,ES,688.0,694.05,696.34
366252,ENGENHARIA DE PRODUÇÃO,UFES,Vitória,ES,716.39,724.71,722.11
366190,ENGENHARIA DE PRODUÇÃO,UFES,Vitória,ES,743.13,741.66,739.51
354914,ENGENHARIA DE PRODUÇÃO,UFF,Volta Redonda,RJ,686.31,698.97,701.36
354921,ENGENHARIA DE PRODUÇÃO,UFF,Rio das Ostras,RJ,686.68,697.18,702.47
355026,ENGENHARIA DE PRODUÇÃO,UFF,Petrópolis,RJ,723.43,731.83,735.35
354899,ENGENHARIA DE PRODUÇÃO,UFF,Niterói,RJ,758.79,760.77,761.33
