co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01
356233,PEDAGOGIA,FAETERJ TRÊS RIOS,Três Rios,RJ,581.26,580.12,594.28,
346007,PEDAGOGIA,FAMA,Clevelândia,PR,N/A,N/A,N/A,
355491,PEDAGOGIA,FMP,Palhoça,SC,660.4,660.4,660.4,
349712,PEDAGOGIA,FURG,Rio Grande,RS,594.24,600.16,610.8,
349722,PEDAGOGIA,FURG,Rio Grande,RS,600.54,610.39,606.91,
345801,PEDAGOGIA,IF CATARINENSE,Rio do Sul,SC,585.28,605.2,605.52,
345819,PEDAGOGIA,IF CATARINENSE,Sombrio,SC,610.4,599.4,610.4,
345796,PEDAGOGIA,IF CATARINENSE,Camboriú,SC,614.7,604.74,637.84,
345820,PEDAGOGIA,IF CATARINENSE,Blumenau,SC,627.28,651.48,656.16,
345795,PEDAGOGIA,IF CATARINENSE,Abelardo Luz,SC,N/A,511.22,566.34,
345817,PEDAGOGIA,IF CATARINENSE,Videira,SC,N/A,556.38,557.6,
366035,PEDAGOGIA,IF GOIANO,Morrinhos,GO,687.2,687.2,687.2,
355484,PEDAGOGIA,IF SERTÃO-PE,Santa Maria da Boa Vista,PE,566.64,577.98,581.98,
346886,PEDAGOGIA,IF SUL DE MINAS,Inconfidentes,MG,661.18,650.72,650.72,
367471,PEDAGOGIA,IFCE,Canindé,CE,646.33,652.16,652.16,
352952,PEDAGOGIA,IFES,Vila Velha,ES,598.04,600.04,616.6,
352938,PEDAGOGIA,IFES,Colatina,ES,628.93,639.59,649.7,
352976,PEDAGOGIA,IFES,Ibatiba,ES,675.74,675.74,675.74,
357257,PEDAGOGIA,IFG,Goiânia,GO,658.82,657.02,656.7,
346651,PEDAGOGIA,IFMG,São João Evangelista,MG,627.26,675.28,633.08,
346649,PEDAGOGIA,IFMG,Ouro Branco,MG,683.68,683.68,683.68,
369198,PEDAGOGIA,IFNMG,Salinas,MG,608.34,617.62,617.62,
348816,PEDAGOGIA,IFPR,Pitanga,PR,560.1,594.02,623.84,
348891,PEDAGOGIA,IFPR,Palmas,PR,592.74,695.18,695.18,
348851,PEDAGOGIA,IFPR,Colombo,PR,663.64,651.92,658.78,
348883,PEDAGOGIA,IFPR,Curitiba,PR,695.3,695.3,702.0,
348848,PEDAGOGIA,IFPR,Astorga,PR,N/A,504.5,615.48,
369040,PEDAGOGIA,IFSP,Presidente Epitácio,SP,595.64,602.16,610.56,
369075,PEDAGOGIA,IFSP,Registro,SP,617.16,617.16,618.38,
369058,PEDAGOGIA,IFSP,Jacareí,SP,623.36,632.16,635.98,
369027,PEDAGOGIA,IFSP,Campos do Jordão,SP,623.52,620.42,627.16,
369037,PEDAGOGIA,IFSP,Boituva,SP,632.28,646.0,646.92,
369097,PEDAGOGIA,IFSP,São Roque,SP,634.58,636.8,642.86,
369057,PEDAGOGIA,IFSP,Jacareí,SP,640.34,651.22,651.22,
